unique_id,type,primary_name,aliases,alias_count,date_designated_inclusion,last_updated,regime
RUS3660,Entity,PILOT FINANCE LIMITED,Continental Global Incentives Ltd,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3659,Entity,"""A7-AGENT"" LIMITED LIABILITY COMPANY",A7 AGENT; A7 AGENT LLC; LIMITED LIABILITY COMPANY A7 AGENT,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3658,Individual,Maksim Yuryevich MAMONTOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3657,Individual,Konstantin Aleksandrovich STRAFILOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3656,Individual,Stanislav Sergeyevich POPOV,Stanislav Sergeevich POPOV,1,16/06/2026,07/07/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3655,Individual,Dmitriy Yegorovich ZUBKOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3654,Individual,Roman Viktorovich GAIVORONSKIY,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3653,Individual,Aleksandr Vasilyevich MATROSOV,Aleksander Vasilyevich MATROSOV,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3652,Individual,Sergey Nikolayevich MAZURIK,Sergey Nikolaevich MAZURIK,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3651,Individual,Nikolay Nikolayevich SAZHIN,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3650,Individual,Aleksandr Filippovich VOTCHENKO,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3649,Individual,Ruslan Petrovich KOSHKIN,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3648,Entity,"""A71"" LIMITED LIABILITY COMPANY","A71; A71 LLC; LIMITED LIABILITY COMPANY ""A71""",3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3647,Entity,JOINT DEVELOPMENT BANK,JDB,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3646,Entity,OOO KORD-BUNKER,KORD-BUNKER CO LTD; LLC KORD-BUNKER,2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3645,Entity,KOMPOZIT 21 LLC,LLC COMPOSITE 21; OOO KOMPOZIT 21,2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3644,Entity,OOO DILMAS,DILMAS CO LTD; LLC DILMAS,2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3643,Entity,LLC SMITH,LLC SMIT; OOO SMIT; OOO SMITH,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3642,Entity,BRUKIDA LIMITED,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3641,Entity,"AEROGLOBAL CO., LTD.",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3640,Entity,"THAI TRADE ASSOCIATION CO., LTD",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3639,Individual,Alexander Petrovich VORONKOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3638,Entity,LIMITED LIABILITY COMPANY TEKHNOPOL,LLC Company Tekhnopol; Technopole Company,2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3637,Entity,"P.K.T. MUNGMEE CO., LTD",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3636,Entity,JOINT STOCK COMPANY MARINE BRIDGE AND NAVIGATION SYSTEMS,AO MNS; JSC MNS,2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3635,Entity,COMNAV TECHNOLOGY LTD,ComNav Technology Ltd; Shanghai Sinan Navigation Technology Co Ltd; Sinan Navigation,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3634,Entity,SHENZHEN HUAXIN ANTENNA TECHNOLOGY CO LTD,Harxon Corporation; Huaxin Antenna; Shenzhen Huaxin Antenna Technology Co Ltd,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3633,Entity,LLC TPK PEGAS,OOO TPK PEGAS,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3632,Entity,IC-ORIENTIR,AIC-Orientir; AISI-Orientir LLC; Orientir Limited Liability Company,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3631,Entity,SHTRAL MAKINE ITHALAT IHRACAT SANAYI VE TICARET LIMITED,SHTRAL MACHINE IMPORT EXPORT INDUSTRY AND TRADE LIMITED; Shtral Makine Ithalat Ihracat Sanayi Ve Ticaret Limited,2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3630,Entity,SHTRAL TECHNOLOGY CO LTD,Shtral; Shtral Machinery; Shtral Technology; Shtral Technology (Tianjin) Co Ltd,4,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3629,Entity,JSC INTERCONSUL,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3628,Entity,LLC MAGNUS LINK,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3627,Entity,LLC NEPTUNE CO LTD,LLC NEPTUN CO LTD; LLC NEPTUN KO LTD; LLC NEPTUNE KO LTD; NEPTUNE CO LTD; NEPTUNE KO LTD,5,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3626,Entity,LLC TECHNOPARITET,"""TECHNOPARITET"" LIMITED LIABILITY COMPANY; LIMITED LIABILITY COMPANY ""TEKHNOPARITET""; LLC TECHNOPARITY",3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3625,Entity,JSC RUSHOL,Closed Joint Stock Company Rushol; JSC Ruskhol; Ruskhol,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3624,Entity,LLC SCIENTIFIC AND PRODUCTION ENTERPRISE SPETSENERGOMEKHANIKA,"Limited Liability Company Scientific and Production Enterprise ""SPETSENERGOMEKHANIKA""; LLC NPP SAM; LLC NPP SEM; NPP SEM LLC",4,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3623,Entity,"JOINT-STOCK COMPANY COMMERCIAL BANK ""VYATICH""","""VYATICH BANK"" (JSC); BANK ""VYATICH"" (JSC)",2,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3622,Entity,"LIMITED LIABILITY COMPANY ""WILDBERRIES BANK""",VB Bank; WB Bank; Wildberries Bank; WILDBERRIES BANK Co. Ltd.; WILDBERRIES Bank Company Limited; Wildberries Bank LLC,6,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3621,Entity,"JOINT STOCK COMPANY ""YANDEX BANK""","JSC ""YANDEX BANK""; KB ""AKROPOL"" JSC; YANDEX BANK; YANDEX BANK JSC",4,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3620,Entity,"JOINT-STOCK COMMERCIAL BANK ""EVROFINANCE MOSNARBANK"" (JOINT-STOCK COMPANY)","EVROFINANCE MOSNARBANK; JOINT-STOCK COMMERCIAL BANK ""EVROFINANCE MOSNARBANK""; JSC JSCB ""EVROFINANCE MOSNARBANK""",3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
GHR0197,Entity,THE FARMS ASSOCIATION,,0,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
GHR0196,Entity,Shivat Zion Lerigvey Admata,Shivat Zion Le Rigvy Admata; Shivat Zion Leragvai Admata,2,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
GHR0195,Entity,ARTZENU,,0,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
GHR0194,Entity,ARI YSHAG,,0,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
GHR0193,Entity,Ahavat Gilad,,0,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
GHR0192,Entity,EYAL HARI YEHUDA COMPANY LTD,,0,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
GHR0191,Individual,Itamar Yehuda Levy,Itamar Yehuda Levi,1,09/06/2026,15/06/2026,The Global Human Rights Sanctions Regulations 2020
